mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__class_weight,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.19760961532592775,0.013349176463038705,0.012293291091918946,0.0014024903347509155,balanced,10,sqrt,1,2,100,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.5092592592592593,0.5,0.48148148148148145,0.5514018691588785,0.514018691588785,0.5112322602976808,0.0229631309714705,257,0.9209302325581395,0.9116279069767442,0.9186046511627907,0.9002320185614849,0.9211136890951276,0.9145016996708574,0.007921630306781627
0.46362013816833497,0.04732830652239958,0.016568994522094725,0.0034145606973564058,balanced,10,sqrt,1,2,200,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.5092592592592593,0.5370370370370371,0.5185185185185185,0.5607476635514018,0.4953271028037383,0.524177916233991,0.02275815436587714,93,0.9232558139534883,0.9209302325581395,0.9232558139534883,0.9187935034802784,0.9373549883990719,0.9247180704688933,0.006533242580043808
0.6357344627380371,0.03231955231867268,0.01800246238708496,0.0010037863601619194,balanced,10,sqrt,1,2,300,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 300}",0.5370370370370371,0.5277777777777778,0.5277777777777778,0.5420560747663551,0.5046728971962616,0.5278643129110419,0.01283278389098696,60,0.9209302325581395,0.9209302325581395,0.9372093023255814,0.925754060324826,0.9373549883990719,0.9284357632331517,0.007434851413207889
0.22758617401123046,0.04239106675985681,0.013825225830078124,0.004383678478873493,balanced,10,sqrt,1,5,100,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.5277777777777778,0.5185185185185185,0.5370370370370371,0.5420560747663551,0.5420560747663551,0.5334890965732086,0.009122625520464785,26,0.8558139534883721,0.8348837209302326,0.8534883720930233,0.8468677494199536,0.8468677494199536,0.8475843090703071,0.0072789678113428236
0.38521485328674315,0.020650433227964667,0.023310327529907228,0.010312290728388846,balanced,10,sqrt,1,5,200,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.5740740740740741,0.5092592592592593,0.5370370370370371,0.5420560747663551,0.4953271028037383,0.5315507095880928,0.027414439479382692,39,0.8627906976744186,0.8558139534883721,0.8790697674418605,0.8491879350348028,0.8700696055684455,0.8633863918415798,0.010487387337047087
0.5467124938964844,0.04756284205375825,0.017225074768066406,0.0009662932169206362,balanced,10,sqrt,1,5,300,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 300}",0.5370370370370371,0.5370370370370371,0.5555555555555556,0.5420560747663551,0.4953271028037383,0.5334025614399447,0.02020790843836064,31,0.8627906976744186,0.8627906976744186,0.8790697674418605,0.8607888631090487,0.8747099767981439,0.868030000539578,0.007400448586204531
0.2249751567840576,0.014984417266515756,0.009580898284912109,0.0006980137282191056,balanced,10,sqrt,1,10,100,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.5092592592592593,0.5370370370370371,0.5185185185185185,0.5420560747663551,0.4953271028037383,0.5204395984769816,0.017332483873309525,131,0.8209302325581396,0.8069767441860465,0.8302325581395349,0.7958236658932715,0.8236658932714617,0.8155258188096909,0.012433971114540917
0.36962428092956545,0.02780090395645392,0.013074302673339843,0.0002318325967862344,balanced,10,sqrt,1,10,200,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.5092592592592593,0.5462962962962963,0.5370370370370371,0.5327102803738317,0.5233644859813084,0.5297334717895466,0.012619730340020154,44,0.8162790697674419,0.8,0.813953488372093,0.802784222737819,0.8306264501160093,0.8127286461986726,0.010911893721537544
0.49082083702087403,0.00884065226448004,0.01685442924499512,0.0013227674421364924,balanced,10,sqrt,1,10,300,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 300}",0.5092592592592593,0.5462962962962963,0.5277777777777778,0.5420560747663551,0.5327102803738317,0.531619937694704,0.012963482856542414,35,0.813953488372093,0.8116279069767441,0.827906976744186,0.8074245939675174,0.8306264501160093,0.81830788323531,0.009229501708246993
0.17929883003234864,0.00916595941194457,0.00919499397277832,0.0008941056002709333,balanced,10,sqrt,2,2,100,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.48148148148148145,0.5185185185185185,0.4722222222222222,0.5046728971962616,0.4766355140186916,0.4907061266874351,0.017851222715212462,481,0.7372093023255814,0.7325581395348837,0.7511627906976744,0.7262180974477959,0.7726218097447796,0.743954027950143,0.016515016201523024
